Name,Languages,"Translated (Words)","Target Words","Approved (Words)",Votes
aikochan,Japanese,1049,2553,0,0
"Mathieu (MathieuMD)",Japanese,31,65,0,1
"DavidM (kepon85)",Japanese,0,0,1068,0
