Name,Languages,"Translated (Words)","Target Words","Approved (Words)",Votes
"erikaflynn (t257233)",Russian,2350,2144,2495,0
marinaaa07,Russian,409,336,0,0
"Andriy Poznakhovskyy (Andrulko)",Russian,10,9,0,0
"DavidM (kepon85)",Russian,0,0,772,0
