Name,Languages,"Translated (Words)","Target Words","Approved (Words)",Votes
"Fachrur Razi (fachrurrazi)",Indonesian,1103,958,1442,0
"raja rizki (rizki271197)",Indonesian,1068,996,20,0
ferimenn,Indonesian,448,413,0,0
"DavidM (kepon85)",Indonesian,18,12,1162,0
Daiky69,Indonesian,4,4,0,0
agusalim,Indonesian,1,1,0,0
