Name,Languages,"Translated (Words)","Target Words","Approved (Words)",Votes
aleysiaa,Polish,1054,900,0,0
"Bartłomiej Mathea (apocz)",Polish,548,496,0,0
"DavidM (kepon85)",Polish,0,0,1602,0
