Name,Languages,"Translated (Words)","Target Words","Approved (Words)",Votes
thegreenfox,Italian,1349,1360,0,0
"Elías Loreto (eliasjloreto)",Italian,1038,1146,0,0
"DavidM (kepon85)",Italian,21,19,2387,0
