Name,Languages,"Translated (Words)","Target Words","Approved (Words)",Votes
"Ericka Simancas (ackseriam)","Portuguese, Brazilian",675,693,0,0
juninhoh3,"Portuguese, Brazilian",5,6,0,0
"DavidM (kepon85)","Portuguese, Brazilian",0,0,672,0
